;Available since;Garden;Latitude;Link;Listing_status;Longitude;Neighbourhood;Number of bedrooms;Number of rooms;Price;Street;Surface (m²);Total volume (m³);Type;Year built;Zipcode
14;10-05-2018;['Yes', 'achtertuin'];52.36188647;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002374207/kanaalstraat;Bieding;4.86173997;Overtoomse Sluis;2;3;425000;Kanaalstraat;70;288;Appartement;1903;1054XM
15;> 3 maanden;['No'];52.35081754;https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002234083/max-de-haasstraat;Verkocht onder voorbehoud;5.0003795;IJburg Zuid;[];4;380000;Max de Haasstraat;100;355;Opslagruimte;2001;1087MD
16;> 3 maanden;['No'];52.35490512;https://www.pararius.nl/overig-te-koop/amsterdam/PB0002379564/langswater;Beschikbaar;4.79016157;De Punt;[];4;27500;Langswater;100;355;Overig;[];1069TS
17;13-04-2018;['No'];52.37747176;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002353840/esmoreitstraat;Verkocht onder voorbehoud;4.85183315;Erasmuspark;2;3;250000;Esmoreitstraat;53;146;Appartement;[];1055CE
18;17-05-2018;['No'];52.37603672;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002382409/bos-en-lommerplantsoen;Beschikbaar;4.84438084;De Kolenkit;1;1;185000;Bos en Lommerplantsoen;30;106;Appartement;1960;1055AA
19;06-03-2018;['No'];52.3692207;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002315596/rapenburgerstraat;Beschikbaar;4.90841942;Nieuwmarkt/Lastage;1;2;375000;Rapenburgerstraat;47;154;Appartement;1964;1011VK
20;15-05-2018;['Yes', 'achtertuin'];52.35537046;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002379164/govert-flinckstraat;Verkocht onder voorbehoud;4.89522591;Oude Pijp;1;2;375000;Govert Flinckstraat;52;232;Appartement;1886;1073CD
21;01-05-2018;['No'];52.36815465;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002366820/lijnbaansgracht;Beschikbaar;4.87906504;Jordaan;1;3;650000;Lijnbaansgracht;107;341;Appartement;[];1016XA
22;25-05-2018;['No'];52.35395932;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002386208/jacques-veltmanstraat;Beschikbaar;4.83221304;Slotervaart;2;3;245000;Jacques Veltmanstraat;58;198;Appartement;1956;1065EL
23;23-05-2018;['No'];52.35988236;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002384029/osdorper-ban;Beschikbaar;4.79154795;Osdorp-Midden;[];3;265000;Osdorper Ban;81;267;Appartement;2006;1069GA
24;> 3 maanden;['No'];52.31780996;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375251/fleerde;Beschikbaar;4.95489361;Bijlmer-Centrum (D, F, H);3;4;250000;Fleerde;97;267;Appartement;1970;1102AV
25;> 3 maanden;['No'];52.38130201;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002365629/eerste-keucheniusstraat;Beschikbaar;4.87243729;Staatsliedenbuurt;1;2;240000;Eerste Keucheniusstraat;40;267;Appartement;1912;1051HR
26;> 3 maanden;['Yes', 'achtertuin. Lengte: 18. Breedte: 8. Orientatie: Zuid'];52.41941774;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002341176/stentorstraat;Beschikbaar;4.90202637;Kadoelen;4;5;598000;Stentorstraat;154;553;Woonhuis;2000;1035XC
27;18-04-2018;['No'];52.35701532;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002356870/erich-salomonstraat;Verkocht onder voorbehoud;4.9965089;IJburg West;2;3;350000;Erich Salomonstraat;108;336;Appartement;2010;1087EH
28;> 3 maanden;['No'];52.3452372;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002287165/kempenlaan;Beschikbaar;4.80702164;Sloten- en Riekerpolder;3;4;549500;Kempenlaan;170;253;Appartement;1993;1066PW
29;> 3 maanden;['No'];52.38254116;https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002329198/l-j-m-beelstraat;Verkocht onder voorbehoud;4.79166953;Eendracht;[];5;285000;L.J.M. Beelstraat;105;225;Opslagruimte;1990;1067WJ
30;03-04-2018;['No'];52.35572094;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002344491/ekingenstraat;Beschikbaar;4.79691759;Osdorp-Midden;3;4;249000;Ekingenstraat;83;257;Appartement;1962;1069GZ
31;> 3 maanden;['No'];52.3712405;https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0001044310/borneolaan;Beschikbaar;4.93523986;Oostelijk Havengebied;[];4;40000;Borneolaan;83;257;Opslagruimte;2000;1019HW
32;> 3 maanden;['No'];52.37905561;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002318370/brouwersgracht;Beschikbaar;4.89367076;Haarlemmerbuurt;3;4;550000;Brouwersgracht;83;257;Appartement;1650;1013GW
33;04-04-2018;['No'];52.29852853;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002346327/wamelplein;Beschikbaar;4.98736215;Gein;[];3;185000;Wamelplein;78;200;Appartement;1983;1106DS
34;21-03-2018;['Yes', 'ja'];52.41707655;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002332831/stoombootweg;Beschikbaar;4.90094958;Kadoelen;3;5;895000;Stoombootweg;125;279;Woonhuis;1916;1035TW
35;30-04-2018;['No'];52.35019607;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002373107/pieter-calandlaan;Bieding;4.78849302;Osdorp-Oost;2;3;285000;Pieter Calandlaan;87;248;Appartement;1999;1060TX
36;11-05-2018;['No'];52.36886325;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375400/balboaplein;Beschikbaar;4.85620986;Hoofdweg en omgeving;2;3;495000;Balboaplein;91;281;Appartement;2004;1057VS
37;> 3 maanden;['Yes', 'achtertuin. Lengte: 9. Breedte: 5,5. Orientatie: Zuid'];52.29215332;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0001909021/wethouder-insingerstraat;Verkocht onder voorbehoud;4.9838723;Gein;2;3;209000;Wethouder Insingerstraat;70;218;Woonhuis;1985;1107XD
38;> 3 maanden;['No'];52.36024248;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002377073/osdorper-ban;Beschikbaar;4.78988423;Osdorp-Midden;2;3;275000;Osdorper Ban;80;235;Appartement;2006;1069ZR
39;> 3 maanden;['No'];52.37313742;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002286691/oudezijds-voorburgwal;Verkocht onder voorbehoud;4.89696722;Burgwallen-Oude Zijde;1;2;350000;Oudezijds Voorburgwal;48;155;Appartement;1890;1012GH
40;> 3 maanden;['No'];52.34101715;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002247320/kribbestraat;Verkocht onder voorbehoud;4.90398391;Rijnbuurt;2;3;324500;Kribbestraat;52;140;Appartement;[];1079WP
41;24-05-2018;['No'];52.35016019;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002385784/pieter-calandlaan;Beschikbaar;4.78850818;Osdorp-Oost;2;4;295000;Pieter Calandlaan;99;140;Appartement;1998;1060TV
42;09-05-2018;['No'];52.35053416;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002374046/jan-van-zutphenstraat;Bieding;4.8021823;Osdorp-Midden;2;3;325000;Jan van Zutphenstraat;70;222;Appartement;2008;1069RR
